#{"t_start": 1759395476.0053387, "env_id": "LunarLander-v3"}
r,l,t
-29.204965,126,132.847324
-110.900552,83,133.111587
-88.148877,96,133.378027
-48.903576,95,133.705432
-188.469035,110,134.049241
-45.395438,111,134.410172
-6.821982,79,134.641491
-54.813514,89,134.871486
-44.77201,79,135.09921
-64.389927,100,135.371545
-75.760246,95,135.700165
-101.096303,109,136.098072
-74.704676,97,136.44946
-59.526584,67,136.649366
-66.978729,100,136.951543
-206.892617,117,137.283682
-22.344168,66,137.451304
-100.755287,100,137.704969
-49.662551,107,137.957565
-13.066304,72,138.151239
-78.437605,92,138.375545
-50.494907,91,138.602664
-93.522019,61,138.754502
-57.751574,71,138.929361
-63.035038,85,139.13395
-57.460227,100,139.377031
-118.403086,86,139.585186
-66.288076,100,139.820919
-80.301083,104,140.059298
-13.735661,75,140.236365
-179.12804,141,140.565917
-42.119188,117,140.831623
-56.913822,117,141.112151
-39.683159,71,141.289448
-30.482659,124,141.605124
-57.456775,82,141.81166
-83.625958,94,142.028111
-48.373571,87,142.257022
-82.200521,66,142.417365
2.45792,121,142.72569
-13.007092,76,142.917321
-56.143096,78,143.149674
-45.894565,116,143.468248
-34.599838,132,143.804359
-69.057296,76,143.977311
-84.955762,103,144.225715
-39.431457,67,144.389333
-65.932062,105,144.644848
-41.805091,114,144.922388
-81.345235,107,145.214308
-7.092699,112,145.477488
-12.583322,95,145.719596
-47.023588,89,145.949765
-74.984206,124,146.241329
-84.778312,97,146.479667
-59.494039,89,146.702203
-5.4504,122,147.001518
-124.069797,105,147.259339
-94.219467,94,147.494537
-63.389666,79,147.699745
4.821166,71,147.873635
-55.028197,111,148.150741
-55.14646,67,148.326563
-44.206429,64,148.484987
-50.689794,80,148.672469
-24.668931,75,148.850471
-18.113375,89,149.067522
-24.617228,85,149.270993
-87.545453,120,149.561752
-77.786232,136,149.888592
-0.129388,90,150.105036
-10.588119,63,150.249788
-46.908112,93,150.483096
-88.444558,88,150.694892
8.205937,100,150.95185
-35.879673,63,151.086564
-28.691936,116,151.354553
-50.63551,112,151.630157
-39.791212,135,151.937059
-51.516879,102,152.181943
-51.600781,77,152.367587
-28.729267,70,152.530591
-91.255779,106,152.779484
-13.799646,114,153.056401
-46.751218,87,153.258106
-19.206016,81,153.452983
-99.397296,109,153.719873
-26.547351,74,153.92383
-43.228611,73,154.10758
-69.198215,110,154.37981
-38.620218,72,154.549808
-62.690004,70,154.71284
-38.116823,85,154.925457
-60.902488,74,155.099798
-11.362532,79,155.281911
-68.750381,94,155.506328
-67.596696,84,155.705031
-33.950932,72,155.900716
