#{"t_start": 1759412282.3366299, "env_id": "LunarLander-v3"}
r,l,t
-405.065002,95,72.330288
-1451.64178,176,72.428279
-494.71324,79,72.472337
-561.855282,107,72.53177
-535.169894,88,72.581129
-1160.770024,151,72.912267
-2001.383038,240,73.048468
-680.261199,93,73.10271
-345.349787,75,73.139907
-633.164333,108,73.448451
-624.793846,76,73.487354
-396.832081,77,73.528405
-652.690871,107,73.586323
-594.854631,82,73.630434
-864.938841,127,73.931952
-1102.731645,143,74.013514
-529.680053,76,74.057681
-510.94577,106,74.116131
-816.077421,113,74.170734
-670.392535,88,74.430916
-7083.843024,520,74.961877
-575.300093,111,75.030155
-781.056964,118,75.104233
-728.049362,124,75.165228
-447.055349,74,75.202644
-1212.762171,158,75.527593
-427.120987,99,75.584479
-422.066711,87,75.632121
-906.667714,121,75.684145
-598.053808,115,75.987391
-653.965203,132,76.054421
-754.131407,97,76.104642
-496.253143,77,76.153878
-863.934043,142,76.225756
-1592.999826,205,76.552672
-811.325282,117,76.626316
-698.138855,97,76.672828
-508.907236,73,76.709855
-487.158982,92,76.969806
-507.385066,82,77.007097
-872.928517,162,77.102224
-532.584482,79,77.137694
-500.93122,84,77.185466
-537.597807,92,77.459106
-635.572458,102,77.516895
-1659.911133,211,77.621086
-843.111228,122,77.687432
-772.073198,129,78.004962
-842.867771,108,78.059311
-1276.443722,153,78.138281
-744.087063,124,78.201834
-461.63796,72,78.472878
-624.321376,84,78.522343
-673.205522,105,78.572775
-649.474293,89,78.622649
-416.822812,77,78.672879
-773.239385,109,78.939791
-1363.713062,220,79.073345
-652.616415,102,79.128675
-511.308006,80,79.169293
-1418.208252,195,79.504687
-484.796414,112,79.56106
-479.946462,76,79.607228
-502.68331,85,79.657151
-2736.926182,313,80.058971
-715.211942,88,80.117283
-610.227311,90,80.178104
-2309.473897,249,80.518388
-1532.930062,227,80.642148
-894.583373,116,80.707347
-839.050867,109,81.024867
-714.248723,111,81.093109
-556.970914,75,81.141147
-650.601617,92,81.193156
-1665.451291,216,81.526927
-695.100418,105,81.593697
-472.347854,106,81.658633
-988.243902,141,81.727064
-814.785432,110,81.79234
-584.221845,81,82.061464
-448.214963,81,82.109206
-1042.287114,140,82.189393
-952.947615,174,82.284005
-1939.53835,221,82.614506
-554.51149,106,82.664116
-893.171846,176,82.758178
-1978.000671,225,83.09596
-848.705587,103,83.149613
-753.113633,111,83.213037
-401.88704,73,83.245918
-846.213273,111,83.531241
-1110.302463,180,83.630252
